﻿Timestamp,Host,PURL,Target,"SuDoc Number",Title,Author,Year,"Pattern note"
"2019-12-01 12:32:20",241.umw.dynamic.apogeeetelecom.com,/GPO/gpo41305,http://www.gpo.gov/fdsys/pkg/CHRG-113shrg82370/pdf/CHRG-113shrg82370.pdf,"Y 4.EC 7:S.HRG.113-86","Building job opportunities for veterans : hearing before the Joint Economic Committee, Congress of the United States, One Hundred Thirteenth Congress, first session, July 10, 2013.","United States.Congress.Joint Economic Committee,",2013,"UMW Network"
"2019-12-01 14:07:56",241.umw.dynamic.apogeeetelecom.com,/GPO/gpo25566,http://gao.gov/assets/600/591906.pdf,"GA 1.13:GAO-12-726","Veteran homelessness [electronic resource] : VA and HUD are working to improve data on supportive housing program : report to the Committee on Veterans’ Affairs, House of Representatives.","United States.Government Accountability Office.",2012,"UMW Network"
"2019-12-01 14:19:53",241.umw.dynamic.apogeeetelecom.com,/GPO/gpo39146,http://www.gpo.gov/fdsys/pkg/CHRG-113hhrg80766/pdf/CHRG-113hhrg80766.pdf,"Y 4.AR 5/2 A:2013-2014/37","Status of implementation of the requirements of the VOW Act and the recommendations of the Presidential Veterans Employment Initiative Task Force for the DOD transition assistance program : goals, plans, and success (GPS): hearing before the Subcommittee on Military Personnel of the Committee on Armed Services, House of Representatives, One Hundred Thirteenth Congress, first session, hearing","United States.Congress.House.Committee on Armed Services.Subcommittee on Military Personnel,",2013,"UMW Network"
"2019-12-01 20:19:21",241.umw.dynamic.apogeeetelecom.com,/GPO/LPS123516,http://permanent.access.gpo.gov/lps123516/Examination_of_MLDA_Laws_NHTSA_Pub_11_6_08.pdf,"TD 8.2:D 83/66","An examination of the criticisms of the minimum legal drinking age 21 laws in the United States from a traffic-safety perspective [electronic resource] /","Fell, James C.",2008,"UMW Network"
"2019-12-01 22:05:47",236.umw.dynamic.apogeeetelecom.com,/GPO/gpo39546,http://permanent.access.gpo.gov/gpo39546/nrap_for_eo_on_mental_health_august_2013.pdf,"D 1.2:M 52/2","National Research Action Plan : responding to the Executive Order improving access to mental health services for veterans, service members, and military families (August 31, 2012) /",,2013,"UMW Network"
"2019-12-02 00:10:18",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo51335,http://www.gpo.gov/fdsys/pkg/CHRG-113hhrg87333/pdf/CHRG-113hhrg87333.pdf,"Y 4.F 76/1:113-152","Ukraine Support Act : urging the government of Burma to end the persecution of the Rohingya people and respect internationally recognized human rights for all ethnic and religious minority groups within Burma; and affirming the importance of the Taiwan Relations Act : markup before the Committee on Foreign Affairs, House of Representatives, One Hundred Thirteenth Congress, second session on","United States.Congress.House.Committee on Foreign Affairs,",2014,"UMW Network"
"2019-12-02 04:23:10",240.umw.dynamic.apogeeetelecom.com,/GPO/gpo80186,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg24914/pdf/CHRG-114hhrg24914.pdf,"Y 4.G 74/7:114-124","Reviewing the rising price of EpiPens : hearing before the Committee on Oversight and Government Reform, House of Representatives, One Hundred Fourteenth Congress, second session, September 21, 2016.","United States.Congress.House.Committee on Oversight and Government Reform,",2017,"UMW Network"
"2019-12-02 20:36:33",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo42265,https://2009-2017.state.gov/r/pa/ei/bgn/index.htm,"S 1.123:AR 3/","U.S. relations with Argentina.",,2012,"UMW Network"
"2019-12-03 00:57:34",225.umw.dynamic.apogeeetelecom.com,/GPO/LPS79478,http://www.smithsonianmag.com/issue/archive/,"SI 1.45:","Smithsonian (Online)",,19uu,"UMW Network"
"2019-12-03 02:25:09",225.umw.dynamic.apogeeetelecom.com,/GPO/LPS27203,http://permanent.access.gpo.gov/lps27203/RR194.pdf,"A 109.10:194","Black farmers in America, 1865-2000 [microform] : the pursuit of independent farming and the role of cooperatives /","Reynolds, Bruce J.",2002,"UMW Network"
