﻿Timestamp,Host,PURL,Target,"SuDoc Number",Title,Author,Year,"Pattern note"
"2019-10-01 16:01:57",240.umw.dynamic.apogeeetelecom.com,/GPO/gpo9272,http://www.gao.gov/new.items/d10800.pdf,"GA 1.13:GAO-10-800","Hurricane recovery [electronic resource] : federal government provided a range of assistance to nonprofits following Hurricanes Katrina and Rita : report to congressional requesters.","United States.Government Accountability Office.",2010,"UMW Network"
"2019-10-01 16:54:18",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-01 16:54:57",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-01 17:09:53",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-01 17:12:47",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-01 17:13:34",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-01 18:47:15",227.umw.dynamic.apogeeetelecom.com,/GPO/LPS115759,http://permanent.access.gpo.gov/lps115759/chatham_hrs.pdf,"I 29.58/3:F 87","Preliminary historic resource study [electronic resource] : Chatham, Fredericksburg, and Spotsylvania County battlefields memorial, National Military Park, Virginia /","Johnson, Ronald W.",1982,"UMW Network"
"2019-10-01 19:03:29",192.65.245.80,/GPO/LPS93502,https://permanent.access.gpo.gov/gpo107287/index.htm,"EP 4.8:C 49/2007","A citizen’s guide to radon [electronic resource] : the guide to protecting yourself and your family from radon.",,2007,"UMW Network"
"2019-10-01 19:11:16",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-01 19:14:54",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-01 19:28:37",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-01 20:41:39",226.umw.dynamic.apogeeetelecom.com,/GPO/gpo38922,http://www.fns.usda.gov/tn/serving-myplate-yummy-curriculum,"A 98.2:M 99/LEV.1-3","Serving up MyPlate : a yummy curriculum : standards-based nutrition education.",,2012,"UMW Network"
"2019-10-02 00:34:40",240.umw.dynamic.apogeeetelecom.com,/GPO/LPS2526,http://nces.ed.gov/ccd/pub_directory.asp,"ED 1.111/2:","Directory of public elementary and secondary education agencies.",,1986,"UMW Network"
"2019-10-02 02:38:14",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo93455,https://pubs.er.usgs.gov/publication/pp1489,,,,,"Library Catalog"
"2019-10-02 02:38:15",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo93455,https://pubs.er.usgs.gov/publication/pp1489,,,,,"Library Catalog"
"2019-10-02 13:29:06",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-02 14:43:32",240.umw.dynamic.apogeeetelecom.com,/GPO/gpo699,http://permanent.access.gpo.gov/gpo699/mj_legal.pdf,"PREX 26.2:M 33/6","Marijuana legalization [electronic resource] : a bad idea /",,2010,"UMW Network"
"2019-10-02 15:45:32",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo120781,https://permanent.fdlp.gov/gpo120781/db330-h.pdf,,,,,"Library Catalog"
"2019-10-02 15:45:33",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo120781,https://permanent.fdlp.gov/gpo120781/db330-h.pdf,,,,,"Library Catalog"
"2019-10-02 17:21:37",umw-primo.hosted.exlibrisgroup.com,/GPO/LPS29486,https://www.census.gov/programs-surveys/asm.html,"C 56.221:","Annual survey of manufactures. Value of product shipments.",,19uu,"Library Catalog"
"2019-10-02 19:57:24",236.umw.dynamic.apogeeetelecom.com,/GPO/LPS108368,http://permanent.access.gpo.gov/LPS108368/LPS108368/www.va.gov/oig/54/reports/VAOIG-05-00379-91.pdf,"VA 1.2:OP 2/3","Review of patient safety in the operating room in Veterans Health Administration facilities [electronic resource].","United States.Department of Veterans Affairs.Office of Inspector General.",2007,"UMW Network"
"2019-10-02 20:36:56",240.umw.dynamic.apogeeetelecom.com,/GPO/LPS99051,https://permanent.access.gpo.gov/lps99051/index.htm,"D 214.511/4:IR 1/2","U.S. Marines in Iraq, 2003 : Basrah, Baghdad and beyond /","Reynolds, Nicholas E.,",2007,"UMW Network"
"2019-10-02 21:14:45",240.umw.dynamic.apogeeetelecom.com,/GPO/LPS96376,http://webharvest.gov/peth04/20041014224634/http://onpoint.leavenworth.army.mil/,"D 110.2:OP 2","On point : the United States Army in Operation Iraqi Freedom /","Fontenot, Gregory,",2004,"UMW Network"
"2019-10-02 21:16:46",240.umw.dynamic.apogeeetelecom.com,/GPO/LPS96376,http://webharvest.gov/peth04/20041014224634/http://onpoint.leavenworth.army.mil/,"D 110.2:OP 2","On point : the United States Army in Operation Iraqi Freedom /","Fontenot, Gregory,",2004,"UMW Network"
"2019-10-02 22:30:09",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo58536,http://permanent.access.gpo.gov/gpo58536//db97.pdf,"HE 20.6234:97","Diagnostic history and treatment of school-aged children with autism spectrum disorder and special health care needs /","Pringle, Beverly A.,",2012,"UMW Network"
"2019-10-03 03:00:20",240.umw.dynamic.apogeeetelecom.com,/GPO/gpo54223,http://www.gpo.gov/fdsys/pkg/CRPT-113srpt308/html/CRPT-113srpt308.htm,"Y 1.1/5:113-308","Captive Primate Safety Act : report (to accompany S. 1463) (including cost estimate of the Congressional Budget Office).","United States.Congress.Senate.Committee on Environment and Public Works,",2014,"UMW Network"
"2019-10-03 05:23:11",226.umw.dynamic.apogeeetelecom.com,/GPO/gpo59165,http://www.gpo.gov/fdsys/pkg/CHRG-114hhrg94750/pdf/CHRG-114hhrg94750.pdf,"Y 4.AG 8/1:114-14","Hearing to review the federal coordination and response regarding pollinator health : hearing before the Subcommittee on Biotechnology, Horticulture, and Research of the Committee on Agriculture, House of Representatives, One Hundred Fourteenth Congress, first session, May 13, 2015.","United States.Congress.House.Committee on Agriculture.Subcommittee on Biotechnology, Horticulture",2015,"UMW Network"
"2019-10-03 12:38:18",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-03 15:48:44",192.65.245.80,/GPO/gpo67169,https://www.loc.gov/nlsold/reference/guides/employment.html,"LC 19.26:EM 7","Employment of people with disabilites : a resource guide.","Augustus, Petra.",2015,"UMW Network"
"2019-10-04 13:34:52",192.65.245.89,/GPO/LPS1672,https://permanent.fdlp.gov/lps1672/www.iaf.gov/Publications/Journal/index.htm,"Y 3.IN 8/25:15/","Grassroots development (Online)",,1982,"UMW Network"
"2019-10-04 14:20:02",236.umw.dynamic.apogeeetelecom.com,/GPO/LPS108368,http://permanent.access.gpo.gov/LPS108368/LPS108368/www.va.gov/oig/54/reports/VAOIG-05-00379-91.pdf,"VA 1.2:OP 2/3","Review of patient safety in the operating room in Veterans Health Administration facilities [electronic resource].","United States.Department of Veterans Affairs.Office of Inspector General.",2007,"UMW Network"
"2019-10-04 15:40:52",192.65.245.80,/GPO/gpo114290,https://crsreports.congress.gov/product/details?prodcode=R44824,,,,,"UMW Network"
"2019-10-04 19:17:36",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo608,http://permanent.access.gpo.gov/gpo608/opening_doors.pdf,"ED 1.202:C 43/4","Opening doors [electronic resource] : technology and communication options for children with hearing loss /",,2006,"UMW Network"
"2019-10-05 00:15:26",225.umw.dynamic.apogeeetelecom.com,/GPO/LPS126164,https://www.nidcd.nih.gov/health/autism-spectrum-disorder-communication-problems-children,"HE 20.3652:C 73/2/2010","Communication problems in children with autism [electronic resource].",,2010,"UMW Network"
"2019-10-06 22:33:10",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo105960,https://fraser.stlouisfed.org/files/docs/publications/bls/bls_1733_1972.pdf,,,,,"Library Catalog"
"2019-10-06 22:33:11",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo105960,https://fraser.stlouisfed.org/files/docs/publications/bls/bls_1733_1972.pdf,,,,,"Library Catalog"
"2019-10-07 00:01:25",umw-primo.hosted.exlibrisgroup.com,/GPO/LPS32979,https://permanent.access.gpo.gov/websites/www.history.army.mil/brochures/algeria/algeria.htm,"D 114.7/5:AL 3","Algeria - French Morocco.","Anderson, Charles Robert,",1993,"Library Catalog"
"2019-10-07 00:01:26",umw-primo.hosted.exlibrisgroup.com,/GPO/LPS32979,https://permanent.access.gpo.gov/websites/www.history.army.mil/brochures/algeria/algeria.htm,"D 114.7/5:AL 3","Algeria - French Morocco.","Anderson, Charles Robert,",1993,"Library Catalog"
