﻿Timestamp,Host,PURL,Target,"SuDoc Number",Title,Author,Year,"Pattern note"
"2019-11-01 07:32:57",241.umw.dynamic.apogeeetelecom.com,/GPO/LPS97539,http://webharvest.gov/peth04/20041015000336/http://foia.fbi.gov/foiaindex/anation.htm,"J 1.14/2:AR 9/3","Aryan Nations [electronic resource] /","United States.Federal Bureau of Investigation.",2003,"UMW Network"
"2019-11-01 13:56:28",241.umw.dynamic.apogeeetelecom.com,/GPO/gpo65272,https://www.govinfo.gov/browse/content/pkg/CHRG-114hhrg97350/pdf/CHRG-114hhrg97350.pdf,"Y 4.SM 1:114-027","Maximizing mentoring : how are the SBA and DOD mentor-protégé programs serving small businesses? : hearing before the Subcommittee on Contracting and Workforce of the Committee on Small Business, United States House of Representatives, One Hundred Fourteenth Congress, first session, hearing held October 27, 2015.","United States.Congress.House.Committee on Small Business.Subcommittee on Contracting and Workforc",2016,"UMW Network"
"2019-11-01 15:37:23",192.65.245.89,/GPO/gpo77869,https://permanent.access.gpo.gov/gpo77869/CMH_Pub_70-61.pdf,"D 114.2:SO 4/4","Soldiers serving the nation /","Sullivan, Gordon R., 1937- editor.",1995,"UMW Network"
"2019-11-01 16:56:34",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo17914,http://permanent.access.gpo.gov/gpo17914/db51.pdf,"HE 20.6234:51","Obesity and socioeconomic status in children and adolescents [electronic resource] : United States, 2005-2008 /","Ogden, Cynthia L.",2010,"Library Catalog"
"2019-11-02 00:24:33",240.umw.dynamic.apogeeetelecom.com,/GPO/LPS97901,http://webharvest.gov/peth04/20041020084330/http://foia.fbi.gov/foiaindex/kkk.htm,"J 1.14/2:K 95","Ku Klux Klan [electronic resource] /","United States.Federal Bureau of Investigation.",2001,"UMW Network"
"2019-11-03 09:13:30",226.umw.dynamic.apogeeetelecom.com,/GPO/gpo65244,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg97333/pdf/CHRG-114hhrg97333.pdf,"Y 4.AG 8/1:114-31","Foreign subsidies : jeopardizing free trade and harming American farmers : hearing before the Committee on Agriculture, House of Representatives, One Hundred Fourteenth Congress, first session, October 21, 2015.","United States.Congress.House.Committee on Agriculture,",2016,"UMW Network"
"2019-11-03 19:03:16",226.umw.dynamic.apogeeetelecom.com,/GPO/LPS17359,http://www.gpo.gov/fdsys/pkg/CHRG-107hhrg76201/html/CHRG-107hhrg76201.htm,"Y 4.W 36:107-46","Conflict diamonds : hearing before the Subcommittee on Trade of the Committee on Ways and Means, House of Representatives, One Hundred Seventh Congress, first session, October 10, 2001.","United States.Congress.House.Committee on Ways and Means.Subcommittee on Trade.",2001,"UMW Network"
"2019-11-04 03:08:36",241.umw.dynamic.apogeeetelecom.com,/GPO/gpo584,http://permanent.access.gpo.gov/gpo584/,"D 214.511/4:IR 1/2010","U.S. Marines in Iraq, 2004-2008 : anthology and annotated bibliography /","Schlosser, Nicholas J.",2010,"UMW Network"
"2019-11-04 17:45:59",240.umw.dynamic.apogeeetelecom.com,/GPO/LPS125970,http://permanent.access.gpo.gov/lps125970/nimhanxiety.pdf,"HE 20.8105:AN 9/5","Anxiety disorders [electronic resource] /",,2009,"UMW Network"
"2019-11-04 23:25:37",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo74231,http://permanent.access.gpo.gov/gpo74231/InvasiveSpecies-FactSheet-Aug2007.pdf,"A 57.2:P 69/18","Plant applications for addressing invasive plant species.",,2007,"Library Catalog"
"2019-11-04 23:30:58",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo2489,http://permanent.access.gpo.gov/gpo2489/gtr_srs119.pdf,"A 13.36/2:P 69/11","A field guide for the identification of invasive plants in southern forests [electronic resource] /","Miller, James H.",2010,"Library Catalog"
"2019-11-05 00:19:54",226.umw.dynamic.apogeeetelecom.com,/GPO/LPS9248,http://webharvest.gov/peth04/20041016080722/http://www.sti.nasa.gov/Pubs/star/Star.html,"NAS 1.9/4:","Scientific and technical aerospace reports /",,1963,"UMW Network"
"2019-11-05 02:54:21",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo126092,https://wayback.archive-it.org/3259/20190905172913/https://www.arc.gov/assets/research_reports/HealthCareCostsandAccessDisparitiesinAppalachia.pdf,,,,,"Library Catalog"
"2019-11-05 14:41:30",241.umw.dynamic.apogeeetelecom.com,/GPO/LPS7931,http://www.fcc.gov/opportunity/meb%5Fstudy/content%5Fownership%5Fstudy.pdf,"CC 1.2:2001005353","Diversity of programming in the broadcast spectrum [electronic resource] : is there a link between owner race or ethnicity and news and public affairs programming? : a report /","Bachen, Christine Marie.",1999,"UMW Network"
"2019-11-05 18:57:15",225.umw.dynamic.apogeeetelecom.com,/GPO/LPS68452,http://permanent.access.gpo.gov/lps68452/lawrence.pdf,"D 110.2:R 32","The evolution of a revolt [electronic resource] /","Lawrence, T. E.",1990,"UMW Network"
"2019-11-05 20:17:57",241.umw.dynamic.apogeeetelecom.com,/GPO/LPS7931,http://www.fcc.gov/opportunity/meb%5Fstudy/content%5Fownership%5Fstudy.pdf,"CC 1.2:2001005353","Diversity of programming in the broadcast spectrum [electronic resource] : is there a link between owner race or ethnicity and news and public affairs programming? : a report /","Bachen, Christine Marie.",1999,"UMW Network"
"2019-11-06 03:42:04",241.umw.dynamic.apogeeetelecom.com,/GPO/gpo79413,https://permanent.access.gpo.gov/gpo79413/gun-violence-and-youth-2018.pdf,"J 32.2:G 95/3/2016","Gun violence and youth.",,2016,"UMW Network"
"2019-11-06 06:25:32",240.umw.dynamic.apogeeetelecom.com,/GPO/gpo74028,https://www.gpo.gov/fdsys/pkg/CHRG-114shrg22168/pdf/CHRG-114shrg22168.pdf,"Y 4.P 96/10:S.HRG.114-390","Marine debris and wildlife : impacts, sources, and solutions : hearing before the Subcommittee on Fisheries, Water, and Wildlife of the Committee on Environment and Public Works, United States Senate, One Hundred Fourteenth Congress, second session, May 17, 2016.","United States.Congress.Senate.Committee on Environment and Public Works.Subcommittee on Fisheries",2016,"UMW Network"
"2019-11-07 02:46:21",241.umw.dynamic.apogeeetelecom.com,/GPO/gpo34688,http://www.gpo.gov/fdsys/pkg/CHRG-112hhrg76387/pdf/CHRG-112hhrg76387.pdf,"Y 4.C 44:W 89/6","Working conditions and worker rights in China : recent developments : hearing before the Congressional-Executive Commission on China, One Hundred Twelfth Congress, second session, July 31, 2012.","United States.Congressional-Executive Commission on China,",2012,"UMW Network"
"2019-11-07 08:20:32",226.umw.dynamic.apogeeetelecom.com,/GPO/gpo53606,https://www.abmc.gov/cemeteries-memorials#.WXyhnH34Gqx,"Y 3.AM 3:2 C 33/","Cemeteries & memorials.","American Battle Monuments Commission,",2014,"UMW Network"
"2019-11-07 16:38:13",192.65.245.89,/GPO/LPS8316,http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=CRI,"X 1.1/A:","Congressional record index (Online)",,1873,"UMW Network"
"2019-11-07 18:49:18",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo34263,http://permanent.access.gpo.gov/gpo34263/2008-SPPA-ArtsLearning.pdf,"NE 2.2:AR 7/16","Arts education in America [electronic resource] : what the declines mean for arts participation /","Rabkin, Nick.",2011,"UMW Network"
"2019-11-07 18:55:13",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo23762,http://permanent.access.gpo.gov/gpo23762/PCAH_Reinvesting_4web.pdf,"PR 44.8:AR 7","Reinvesting in arts education [electronic resource] : winning America’s future through creative schools /","Dwyer, M. Christine.",2011,"UMW Network"
"2019-11-07 18:55:18",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo23762,http://permanent.access.gpo.gov/gpo23762/PCAH_Reinvesting_4web.pdf,"PR 44.8:AR 7","Reinvesting in arts education [electronic resource] : winning America’s future through creative schools /","Dwyer, M. Christine.",2011,"UMW Network"
"2019-11-07 18:58:37",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo23762,http://permanent.access.gpo.gov/gpo23762/PCAH_Reinvesting_4web.pdf,"PR 44.8:AR 7","Reinvesting in arts education [electronic resource] : winning America’s future through creative schools /","Dwyer, M. Christine.",2011,"UMW Network"
"2019-11-07 18:58:38",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo23762,http://permanent.access.gpo.gov/gpo23762/PCAH_Reinvesting_4web.pdf,"PR 44.8:AR 7","Reinvesting in arts education [electronic resource] : winning America’s future through creative schools /","Dwyer, M. Christine.",2011,"UMW Network"
"2019-11-07 19:03:21",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo34263,http://permanent.access.gpo.gov/gpo34263/2008-SPPA-ArtsLearning.pdf,"NE 2.2:AR 7/16","Arts education in America [electronic resource] : what the declines mean for arts participation /","Rabkin, Nick.",2011,"Library Catalog"
"2019-11-07 19:03:22",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo34263,http://permanent.access.gpo.gov/gpo34263/2008-SPPA-ArtsLearning.pdf,"NE 2.2:AR 7/16","Arts education in America [electronic resource] : what the declines mean for arts participation /","Rabkin, Nick.",2011,"Library Catalog"
"2019-11-07 19:03:25",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo34263,http://permanent.access.gpo.gov/gpo34263/2008-SPPA-ArtsLearning.pdf,"NE 2.2:AR 7/16","Arts education in America [electronic resource] : what the declines mean for arts participation /","Rabkin, Nick.",2011,"UMW Network"
"2019-11-07 19:39:39",236.umw.dynamic.apogeeetelecom.com,/GPO/gpo14658,http://permanent.access.gpo.gov/gpo14658/eyedamage.pdf,"EP 4.27:EY 3","Prevent eye damage : protect yourself from UV radiation.",,2010,"UMW Network"
"2019-11-07 20:14:55",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo34263,http://permanent.access.gpo.gov/gpo34263/2008-SPPA-ArtsLearning.pdf,"NE 2.2:AR 7/16","Arts education in America [electronic resource] : what the declines mean for arts participation /","Rabkin, Nick.",2011,"Library Catalog"
"2019-11-09 18:21:17",192.65.245.80,/GPO/LPS112370,https://permanent.access.gpo.gov/websites/ssi.armywarcollege.edu/pubs/display.cfm-pubID=918.htm,"D 101.146:M 57","Mexico’s narco-insurgency and U.S. counterdrug policy /","Brands, Hal,",2009,"UMW Network"
"2019-11-11 15:07:45",241.umw.dynamic.apogeeetelecom.com,/GPO/gpo78066,https://www.gpo.gov/fdsys/pkg/CHRG-114shrg22714/pdf/CHRG-114shrg22714.pdf,"Y 4.G 74/9:S.HRG.114-566","Inside the mind of ISIS : understanding its goals and ideology to better protect the homeland : hearing before the Committee on Homeland Security and Governmental Affairs, United States Senate, One Hundred Fourteenth Congress, second session, January 20, 2016.","United States.Congress.Senate.Committee on Homeland Security and Governmental Affairs,",2017,"UMW Network"
"2019-11-11 16:02:13",192.65.245.89,/GPO/gpo53154,http://digital.library.unt.edu/explore/collections/CGLOB/browse/,"X 72-X 180","The congressional globe [electronic resource].","United States.Congress.",1833,"UMW Network"
"2019-11-11 16:22:13",192.65.245.89,/GPO/gpo53154,http://digital.library.unt.edu/explore/collections/CGLOB/browse/,"X 72-X 180","The congressional globe [electronic resource].","United States.Congress.",1833,"UMW Network"
