﻿Timestamp,Host,PURL,Target,"SuDoc Number",Title,Author,Year,"Pattern note"
"2019-07-01 16:07:35",192.65.245.226,/GPO/gpo45020,http://permanent.access.gpo.gov/gpo45020/2011-10-vitalsigns.pdf,"HE 20.7062:D 83/4","Drinking and driving : a threat to everyone.","National Center for Injury Prevention and Control (U.S.).Division of Unintentional Injury Prevent",2011,"UMW Network"
"2019-07-01 21:55:06",192.65.245.226,/GPO/gpo11065,http://www.gpo.gov/fdsys/pkg/CHRG-112shrg66621/pdf/CHRG-112shrg66621.pdf,"Y 4.G 74/9:S.HRG.112-46","Improving federal employment of people with disabilities [electronic resource] : hearing before the Oversight of Government Management, the Federal Workforce, and the District of Columbia Subcommittee of the Committee on Homeland Security and Governmental Affairs, United States Senate, One Hundred Twelfth Congress, first session, February 16, 2011.","United States.Congress.Senate.Committee on Homeland Security and Governmental Affairs.Subcommitte",2011,"UMW Network"
"2019-07-01 23:07:48",226.umw.dynamic.apogeeetelecom.com,/GPO/LPS64760,http://www.gpo.gov/fdsys/pkg/CHRG-109shrg20853/pdf/CHRG-109shrg20853.pdf,"Y 4.L 11/4:S.HRG.109-116","Early education and care : what is the federal government’s role? : hearing before the Subcommittee on Education and Early Childhood Development of the Committee on Health, Education, Labor, and Pensions, United States Senate, One Hundred Ninth Congress, first session, on examining the federal role to improve the effectiveness and coordination of childhood education programs, including the H","United States.Congress.Senate.Committee on Health, Education, Labor, and Pensions.Subcommittee on",2005,"UMW Network"
"2019-07-02 00:06:55",224.umw.dynamic.apogeeetelecom.com,/GPO/gpo45020,http://permanent.access.gpo.gov/gpo45020/2011-10-vitalsigns.pdf,"HE 20.7062:D 83/4","Drinking and driving : a threat to everyone.","National Center for Injury Prevention and Control (U.S.).Division of Unintentional Injury Prevent",2011,"UMW Network"
"2019-07-02 00:13:46",224.umw.dynamic.apogeeetelecom.com,/GPO/gpo42264,http://permanent.access.gpo.gov/gpo42264/2012-10-vitalsigns.pdf,"HE 20.7062:D 83/5","Teen drinking and driving : a dangerous mix.","National Center for Injury Prevention and Control (U.S.).Division of Unintentional Injury Prevent",2012,"UMW Network"
"2019-07-02 01:20:10",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo2508,http://www.gpo.gov/fdsys/pkg/CHRG-111hhrg56354/pdf/CHRG-111hhrg56354.pdf,"Y 4.ED 8/1:111-64","The impact of concussions on high school athletes [electronic resource] : hearing before the Committee on Education and Labor, U.S. House of Representatives, One Hundred Eleventh Congress, second session, hearing held in Washington, DC, May 20, 2010.","United States.Congress.House.Committee on Education and Labor.",2010,"Library Catalog"
"2019-07-02 15:36:37",192.65.245.89,/GPO/LPS95073,https://permanent.access.gpo.gov/websites/archives.republicans.foreignaffairs.house.gov/110/41756.pdf,"Y 4.F 76/1:110-164","War powers for the 21st century : the Constitutional perspective : hearing before the Subcommittee on International Organizations, Human Rights, and Oversight of the Committee on Foreign Affairs, House of Representatives, One Hundred Tenth Congress, second session, April 10, 2008.","United States.Congress.House.Committee on Foreign Affairs.Subcommittee on International Organizat",2008,"UMW Network"
"2019-07-02 17:20:50",192.65.245.226,/GPO/gpo76157,https://permanent.access.gpo.gov/gpo76157/PRWI_Overview_FINAL_lowres.pdf,"I 29.2:P 93/8","Foundation document overview : Prince William Forest Park, Virginia.",,2013,"UMW Network"
"2019-07-11 19:18:45",192.65.245.89,/GPO/LPS84307,https://web.archive.org/web/20061002142427/http://www.fsis.usda.gov/Be_FoodSafe/BFS_Messages/index.asp,"A 110.2:F 73/9","Be food safe.",,2006,"UMW Network"
"2019-07-16 22:55:07",192.65.245.88,/GPO/gpo7906,http://permanent.access.gpo.gov/gpo7906/GIP80.pdf,"I 19.174:80","Internships, employment opportunities, and research grants [electronic resource].","Geological Survey (U.S.)",2008,"UMW Network"
"2019-07-17 19:15:56",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo116050,https://www.govinfo.gov/content/pkg/CHRG-115shrg32933/pdf/CHRG-115shrg32933.pdf,,,,,"Library Catalog"
"2019-07-17 19:16:09",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo116050,https://www.govinfo.gov/content/pkg/CHRG-115shrg32933/pdf/CHRG-115shrg32933.pdf,,,,,"Library Catalog"
"2019-07-21 16:59:28",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo86576,https://permanent.access.gpo.gov/gpo86576/ED497134.pdf,,,,,"Library Catalog"
"2019-07-21 16:59:30",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo86576,https://permanent.access.gpo.gov/gpo86576/ED497134.pdf,,,,,"Library Catalog"
"2019-07-22 02:17:10",192.65.245.83,/GPO/LPS79478,http://www.smithsonianmag.com/issue/archive/,"SI 1.45:","Smithsonian (Online)",,19uu,"UMW Network"
"2019-07-22 02:18:17",192.65.245.83,/GPO/LPS79478,http://www.smithsonianmag.com/issue/archive/,"SI 1.45:","Smithsonian (Online)",,19uu,"UMW Network"
"2019-07-23 13:20:41",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo114584,https://www.loc.gov/nls/resources/general-resources-on-disabilities/disability-awareness-children-pre-k-sixth-grade/,,,,,"Library Catalog"
"2019-07-23 13:20:47",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo114584,https://www.loc.gov/nls/resources/general-resources-on-disabilities/disability-awareness-children-pre-k-sixth-grade/,,,,,"Library Catalog"
"2019-07-23 14:01:24",libguides.umw.edu,/GPO/gpo119314,https://www.govinfo.gov/content/pkg/GPO-SCREPORT-MUELLER/pdf/GPO-SCREPORT-MUELLER.pdf,,,,,LibGuides
"2019-07-24 18:35:33",236.umw.dynamic.apogeeetelecom.com,/GPO/gpo696,http://permanent.access.gpo.gov/gpo696/Marijuana.pdf,"PREX 26.2:M 33/5","Marijuana [electronic resource] : know the facts /",,2010,"UMW Network"
"2019-07-30 19:51:21",192.65.245.89,/GPO/gpo67599,http://www.gpo.gov/fdsys/pkg/CRPT-114hrpt496/pdf/CRPT-114hrpt496.pdf,"Y 1.1/8:114-496","United States Naval Station Guantanamo Bay Preservation Act : report (to accompany H.R. 4678) (including cost estimate of the Congressional Budget Office).","United States.Congress.House.Committee on Foreign Affairs,",2016,"UMW Network"
