﻿Timestamp,Host,PURL,Target,"SuDoc Number",Title,Author,Year,"Pattern note"
"2019-08-01 13:28:07",umw.alma.exlibrisgroup.com,/GPO/gpo107893,https://fraser.stlouisfed.org/files/docs/publications/bls/bls_2042_1980.pdf,,,,,"Library Catalog"
"2019-08-03 23:40:55",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo108103,https://www.govinfo.gov/content/pkg/CHRG-114shrg20670/pdf/CHRG-114shrg20670.pdf,,,,,"Library Catalog"
"2019-08-04 17:02:15",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo108103,https://www.govinfo.gov/content/pkg/CHRG-114shrg20670/pdf/CHRG-114shrg20670.pdf,,,,,"Library Catalog"
"2019-08-06 12:17:51",192.65.245.89,/GPO/gpo72497,http://permanent.access.gpo.gov/gpo72497/apps.pdf,"LC 19.26:AP 6/2016","Accessible mobile reading apps.","Corrigan, Chris, compiler.",2016,"UMW Network"
"2019-08-07 19:48:10",192.65.245.89,/GPO/gpo1689,http://permanent.access.gpo.gov/gpo1689/oit_sixsteps_exporting.pdf,"SBA 1.2:EX 7/8","Six steps to begin exporting [electronic resource].",,2010,"UMW Network"
"2019-08-07 19:49:24",192.65.245.89,/GPO/gpo1689,http://permanent.access.gpo.gov/gpo1689/oit_sixsteps_exporting.pdf,"SBA 1.2:EX 7/8","Six steps to begin exporting [electronic resource].",,2010,"UMW Network"
"2019-08-07 20:27:17",192.65.245.89,/GPO/gpo31735,http://permanent.access.gpo.gov/gpo31735/st-louis-gil-2012.pdf,"AE 1.113:81/2011-2","National Archives at St. Louis [electronic resource].","National Personnel Records Center (U.S.)",2011,"UMW Network"
"2019-08-07 20:28:55",192.65.245.89,/GPO/gpo31735,http://permanent.access.gpo.gov/gpo31735/st-louis-gil-2012.pdf,"AE 1.113:81/2011-2","National Archives at St. Louis [electronic resource].","National Personnel Records Center (U.S.)",2011,"UMW Network"
"2019-08-08 13:04:56",192.65.245.89,/GPO/gpo80404,https://permanent.access.gpo.gov/gpo80404/report.pdf,"I 19.16:186-L","The correlation of the Upper Cambrian sections of Missouri and Texas with the section in the upper Mississippi Valley /","Bridge, Josiah,",1936,"UMW Network"
"2019-08-08 15:42:11",192.65.245.89,/GPO/gpo80404,https://permanent.access.gpo.gov/gpo80404/report.pdf,"I 19.16:186-L","The correlation of the Upper Cambrian sections of Missouri and Texas with the section in the upper Mississippi Valley /","Bridge, Josiah,",1936,"UMW Network"
"2019-08-12 14:31:56",192.65.245.110,/GPO/gpo75281,https://www.gpo.gov/fdsys/pkg/CHRG-114hhrg96035/pdf/CHRG-114hhrg96035.pdf,"Y 4.ED 8/1:114-27","Preventing and responding to sexual assault on college campuses : hearing before the Subcommittee on Higher Education and Workforce Training, Committee on Education and the Workforce, House of Representatives, One Hundred Fourteenth Congress, first session, hearing held in Washington, DC, September 10, 2015.","United States.Congress.House.Committee on Education and the Workforce.Subcommittee on Higher Educ",2016,"UMW Network"
"2019-08-14 18:07:25",192.65.245.89,/GPO/gpo123830,https://www.govinfo.gov/content/pkg/CDOC-116sdoc5/pdf/CDOC-116sdoc5.pdf,,,,,"UMW Network"
"2019-08-14 18:13:21",192.65.245.89,/GPO/LPS54302,http://eric.ed.gov/,"ED 1.615:","ERIC database [electronic resource].",,2004,"UMW Network"
"2019-08-14 18:13:54",192.65.245.89,/GPO/LPS19277,http://eric.ed.gov/,"ED 1.310/6:","Search ERIC database [electronic resource].",,199u,"UMW Network"
"2019-08-21 11:25:30",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo52668,http://www.gpo.gov/fdsys/pkg/CHRG-113hhrg88144/pdf/CHRG-113hhrg88144.pdf,"Y 4.SCI 2:113-74","Space traffic management : how to prevent a real life \""Gravity\"" : hearing before the Subcommittee on Space, Committee on Science, Space, and Technology, House of Representatives, One Hundred Thirteenth Congress, second session, May 9, 2014.","United States.Congress.House.Committee on Science, Space, and Technology (2011).Subcommittee on S",2014,"UMW Network"
"2019-08-21 12:22:35",192.65.245.89,/GPO/LPS552,https://www.cia.gov/library/publications/resources/the-world-factbook/index.html,"PREX 3.15:","World factbook (Washington, D.C. : Online)",,19uu,"UMW Network"
"2019-08-21 19:40:40",225.umw.dynamic.apogeeetelecom.com,/GPO/gpo41041,http://www.gpo.gov/fdsys/pkg/CHRG-113hhrg80552/pdf/CHRG-113hhrg80552.pdf,"Y 4.SCI 2:113-14","Threats from space : a review of U.S. government efforts to track and mitigate asteroids and meteors (part I and part II) : hearing before the Committee on Science, Space, and Technology, House of Representatives, One Hundred Thirteenth Congress, first session, Tuesday, March 19, 2013 and Wednesday, April 10, 2013.","United States.Congress.House.Committee on Science, Space, and Technology (2011),",2013,"UMW Network"
"2019-08-22 14:22:54",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo36488,http://www.gpo.gov/fdsys/pkg/CHRG-111hhrg78130/pdf/CHRG-111hhrg78130.pdf,"Y 4.C 73/8:111-153","Protecting school age athletes from sports-related concussion injury : hearing before the Subcommittee on Health of the Committee on Energy and Commerce, House of Representatives, One Hundred Eleventh Congress, second session, September 8, 2010.","United States.Congress.House.Committee on Energy and Commerce.Subcommittee on Health,",2013,"Library Catalog"
"2019-08-22 14:22:56",umw-primo.hosted.exlibrisgroup.com,/GPO/gpo36488,http://www.gpo.gov/fdsys/pkg/CHRG-111hhrg78130/pdf/CHRG-111hhrg78130.pdf,"Y 4.C 73/8:111-153","Protecting school age athletes from sports-related concussion injury : hearing before the Subcommittee on Health of the Committee on Energy and Commerce, House of Representatives, One Hundred Eleventh Congress, second session, September 8, 2010.","United States.Congress.House.Committee on Energy and Commerce.Subcommittee on Health,",2013,"Library Catalog"
"2019-08-26 14:04:31",192.65.245.89,/GPO/gpo22931,http://www.gpo.gov/fdsys/pkg/CHRG-111hhrg72878/pdf/CHRG-111hhrg72878.pdf,"Y 4.C 73/8:111-29","The American Clean Energy Security Act of 2009 [electronic resource] : hearings before the Subcommittee on Energy and Environment of the Committee on Energy and Commerce, House of Representatives, One Hundred Eleventh Congress, first session, April 21, 22, 23, & 24, 2009.","United States.Congress.House.Committee on Energy and Commerce.Subcommittee on Energy and Environm",2012,"UMW Network"
"2019-08-26 14:06:56",192.65.245.89,/GPO/gpo22931,http://www.gpo.gov/fdsys/pkg/CHRG-111hhrg72878/pdf/CHRG-111hhrg72878.pdf,"Y 4.C 73/8:111-29","The American Clean Energy Security Act of 2009 [electronic resource] : hearings before the Subcommittee on Energy and Environment of the Committee on Energy and Commerce, House of Representatives, One Hundred Eleventh Congress, first session, April 21, 22, 23, & 24, 2009.","United States.Congress.House.Committee on Energy and Commerce.Subcommittee on Energy and Environm",2012,"UMW Network"
"2019-08-26 14:06:59",192.65.245.89,/GPO/gpo22931,http://www.gpo.gov/fdsys/pkg/CHRG-111hhrg72878/pdf/CHRG-111hhrg72878.pdf,"Y 4.C 73/8:111-29","The American Clean Energy Security Act of 2009 [electronic resource] : hearings before the Subcommittee on Energy and Environment of the Committee on Energy and Commerce, House of Representatives, One Hundred Eleventh Congress, first session, April 21, 22, 23, & 24, 2009.","United States.Congress.House.Committee on Energy and Commerce.Subcommittee on Energy and Environm",2012,"UMW Network"
"2019-08-28 03:56:53",225.umw.dynamic.apogeeetelecom.com,/GPO/LPS9248,http://webharvest.gov/peth04/20041016080722/http://www.sti.nasa.gov/Pubs/star/Star.html,"NAS 1.9/4:","Scientific and technical aerospace reports /",,1963,"UMW Network"
"2019-08-28 11:46:41",192.65.245.79,/GPO/LPS71611,https://web.archive.org/web/20130601203236/http://www.ornl.gov/sci/eere/stnews.shtml,"E 1.157:","Science & technology highlights [electronic resource].","Energy Efficiency and Renewable Energy Program (Oak Ridge National Laboratory)",1998,"UMW Network"
"2019-08-29 23:36:15",241.umw.dynamic.apogeeetelecom.com,/GPO/LPS90250,https://permanent.access.gpo.gov/websites/archives.republicans.foreignaffairs.house.gov/110/36823.pdf,"Y 4.F 76/1:110-126","The conservation and management of highly migrating fish stocks in the western and central Pacific Oceans, and other international fisheries agreements of U.S. interest in Asia and the Pacific : hearing before the Subcommittee on Asia, the Pacific, and the Global Environment of the Committee on Foreign Affairs, House of Representatives, One Hundred Tenth Congress, first session, July 17, 200","United States.Congress.House.Committee on Foreign Affairs.Subcommittee on Asia, the Pacific, and",2008,"UMW Network"
"2019-08-29 23:37:03",241.umw.dynamic.apogeeetelecom.com,/GPO/LPS58409,http://www.gpo.gov/fdsys/pkg/CHRG-108hhrg93383/pdf/CHRG-108hhrg93383.pdf,"Y 4.R 31/3:108-92","The international aspects of fish and wildlife conservation and management activities : oversight hearing before the Subcommittee on Fisheries Conservation, Wildlife, and Oceans of the Committee on Resources, U.S. House of Representatives, One Hundred Eighth Congress, second session, Thursday, April 29, 2004.","United States.Congress.House.Committee on Resources.Subcommittee on Fisheries Conservation, Wildl",2004,"UMW Network"
